Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
5.3125000000e-001,4.1820512695e+003,4.2682050781e+003,4.1856411133e+003,4.1769228516e+003,4.1856411133e+003,4.1594873047e+003,4.0656411133e+003,4.0984614258e+003,4.1835898438e+003,4.0548718262e+003,4.1733334961e+003,4.1810258789e+003,4.0594870605e+003,4.1707690430e+003,
5.3906250000e-001,4.1815385742e+003,4.2615385742e+003,4.1835898438e+003,4.1810258789e+003,4.1687177734e+003,4.1497436523e+003,4.0579487305e+003,4.0979487305e+003,4.1825639648e+003,4.0364101563e+003,4.1723076172e+003,4.1784614258e+003,4.0456411133e+003,4.1707690430e+003,
5.4687500000e-001,4.1805126953e+003,4.2497436523e+003,4.1835898438e+003,4.1841025391e+003,4.1107690430e+003,4.1538461914e+003,4.0338461914e+003,4.0656411133e+003,4.1835898438e+003,4.0158974609e+003,4.1738461914e+003,4.1769228516e+003,4.0179487305e+003,4.1682050781e+003,
5.5468750000e-001,4.1835898438e+003,4.2461538086e+003,4.1861538086e+003,4.1820512695e+003,4.0779487305e+003,4.1564101563e+003,4.0169230957e+003,4.0441025391e+003,4.1835898438e+003,3.9964101563e+003,4.1707690430e+003,4.1743588867e+003,4.0025642090e+003,4.1687177734e+003,
5.6250000000e-001,4.1784614258e+003,4.2497436523e+003,4.1820512695e+003,4.1825639648e+003,4.1082050781e+003,4.1523076172e+003,4.0276923828e+003,4.0723076172e+003,4.1830771484e+003,4.0046154785e+003,4.1682050781e+003,4.1717949219e+003,4.0153845215e+003,4.1692309570e+003,
5.7031250000e-001,4.1769228516e+003,4.2502563477e+003,4.1779487305e+003,4.1856411133e+003,4.1066665039e+003,4.1528203125e+003,4.0266667480e+003,4.1000000000e+003,4.1841025391e+003,4.0138461914e+003,4.1707690430e+003,4.1779487305e+003,4.0179487305e+003,4.1717949219e+003,
5.7812500000e-001,4.1810258789e+003,4.2446152344e+003,4.1794873047e+003,4.1841025391e+003,4.0820512695e+003,4.1538461914e+003,4.0030769043e+003,4.0866667480e+003,4.1846152344e+003,3.9969230957e+003,4.1692309570e+003,4.1805126953e+003,3.9984614258e+003,4.1702563477e+003,
5.8593750000e-001,4.1789741211e+003,4.2456411133e+003,4.1846152344e+003,4.1825639648e+003,4.1302563477e+003,4.1548715820e+003,4.0164101563e+003,4.0841025391e+003,4.1841025391e+003,4.0046154785e+003,4.1692309570e+003,4.1794873047e+003,3.9994870605e+003,4.1682050781e+003,
5.9375000000e-001,4.1769228516e+003,4.2528203125e+003,4.1830771484e+003,4.1820512695e+003,4.1707690430e+003,4.1564101563e+003,4.0538461914e+003,4.1169228516e+003,4.1835898438e+003,4.0374357910e+003,4.1707690430e+003,4.1805126953e+003,4.0148718262e+003,4.1697436523e+003,
6.0156250000e-001,4.1779487305e+003,4.2482050781e+003,4.1794873047e+003,4.1820512695e+003,4.1215385742e+003,4.1553847656e+003,4.0446154785e+003,4.1323076172e+003,4.1830771484e+003,4.0215385742e+003,4.1687177734e+003,4.1779487305e+003,3.9989743652e+003,4.1661538086e+003,
6.0937500000e-001,4.1784614258e+003,4.2338461914e+003,4.1830771484e+003,4.1815385742e+003,4.0707692871e+003,4.1548715820e+003,4.0184614258e+003,4.1235898438e+003,4.1835898438e+003,3.9928205566e+003,4.1687177734e+003,4.1769228516e+003,3.9825642090e+003,4.1676923828e+003,
6.1718750000e-001,4.1794873047e+003,4.2276923828e+003,4.1846152344e+003,4.1810258789e+003,4.0784614258e+003,4.1538461914e+003,4.0282050781e+003,4.1230771484e+003,4.1841025391e+003,4.0133332520e+003,4.1697436523e+003,4.1738461914e+003,3.9964101563e+003,4.1702563477e+003,
6.2500000000e-001,4.1794873047e+003,4.2307690430e+003,4.1825639648e+003,4.1835898438e+003,4.1153847656e+003,4.1543588867e+003,4.0528205566e+003,4.1343588867e+003,4.1841025391e+003,4.0307692871e+003,4.1682050781e+003,4.1702563477e+003,4.0097436523e+003,4.1666665039e+003,
